filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id
1900s/charskaia.zapiski_malienkoi_ghimnazistki.1908_2011.vert,"None, None None","None, None None",1875,1937,ж,Записки маленькой гимназистки,1908,"Записки маленькой гимназистки, СПб.: Издатель М. О. Вольф, 1908",2011,"Записки маленькой гимназистки, Харьков: Ранок, 2011",realism,charskaia.zapiski_malienkoi_ghimnazistki
1900s/dmitrieva.majna_vira.1903_1925.vert,"Дмитриева, Валентина Иововна",,1859,1947,ж,Майна-Вира,1925,"Майна-Вира, М.: Молодая гвардия, 1925",1925,"Майна-Вира, М.: Молодая гвардия, 1925",realism,dmitrieva.majna_vira
1900s/forsh.medved_panfamil.1909.vert,"Форш, Ольга Дмитриевна",,1873,1961,ж,Медведь Памфамил,1909,Русская мысль 1909. №6—7,1909,Русская мысль 1909. №6—7,realism:animalistic,forsh.medved_panfamil
1900s/gorkij.devyatoe_janvara.1907_1925.vert,"Максим, Горький None","Пешков, Алексей Максимович",1868,1936,м,9-е января,1907,"9-е января, Берлин : И.П. Ладыжников, 1907",1925,"9-е января: очерк, Л.: Гос. изд., 1925",realism,gorkij.devyatoe_janvara
1900s/hatunskij.na_zarabotok.1902_1925.vert,"Хатунский, Сергей None","Курнин, Сергей Васильевич",None,None,м,На заработок,1902,"Около волости : (Очерки), Москва : кн. маг. торг. д. С. Курнин и К°, 1902",1925,"На заработок : Повесть, М. ; Л. : Земля и фабрика, 1925",realism,hatunskij.na_zarabotok
1900s/karmen.syn_kolodtsa.1909_1925.vert,"Кармен, Лазарь None","Корнман, Лазарь Осипович",1876,1920,м,Сын колодца,1909,"Рассказы : Т. 1, [Б.м.]: [Б.и], 1909",1925,"Дети-шахтеры: сборник рассказов, Л.: Прибой, 1925",realism,karmen.syn_kolodtsa
1900s/levitskij.andrejka.1900_1923.vert,"Левицкий, Петр А.",,None,None,м,Адрейка-мытарь,1900,"Андрейка Мытарь : Рассказ, Москва : Д.П. Ефимов, ценз. 1900",1923,"Дети нужды: рассказы для детей, Москва, Петроград: ГИЗ , 1923",realism,levitskij.andrejka
1900s/lukyanskaya.lyzgushka_kvakushka.1909_1923.vert,"Лукьянская, Вера Ипполитовна",,1874,1943,ж,Лягушка-квакушка : (Жизнь и приключения),1909,"Жизнь и приключения лягушки-квакушки, Москва : Типо-литография Т-ва И. Н. Кушнерев и К, 1909",1923,"Лягушка-квакушка : (Жизнь и приключения) / С польск. изложила [по произведению М.Бжезинского] В.Лукьянская. - 4-е изд., М. : Земля и фабрика, 1923",animalistic:skazka,lukyanskaya.lyzgushka_kvakushka
1900s/mamin_sibirak.lucsij_drug.1904_1926.vert,"Мамин-Сибиряк, Дмитрий None","Мамин, Дмитрий Наркисович",1852,1912,м,Лучший друг,1904,"«Светлячок», 1904",1926,"Лучший друг. 2ое издание, М.: Издание Г. Ф. Мириманова. Москва, 1926",skazka:animalistic,mamin_sibirak.lucsij_drug
1900s/mamin_sibirak.ne_moe_delo.1904_1925.vert,"Мамин-Сибиряк, Дмитрий None","Мамин, Дмитрий Наркисович",1852,1912,м,Не мое дело,1904,"«Красные зори», 1904",1925,"Не мое дело, М.: 2-е издание Г. Ф. Мириманова, 1925",skazka:animalistic,mamin_sibirak.ne_moe_delo
1900s/potapenko.anuta.1905_1923.vert,"Потапенко, Игнатий Николаевич",,1856,1929,м,Анюта-цыганочка,1905,"Сочинения. И.Н. Потапенко. Т. 9, СПб: А.Ф. Маркс, 1905",1923,"Рассказы для детей, М., Петроград: ГИЗ, 1923",realism,potapenko.anuta
1900s/potapenko.dva_talanta.1905_1923.vert,"Потапенко, Игнатий Николаевич",,1856,1929,м,Два таланта,1905,"Сочинения. И.Н. Потапенко. Т. 9, СПб: А.Ф. Маркс, 1905",1923,"Рассказы для детей, М., Петроград: ГИЗ, 1923",realism,potapenko.dva_talanta
